COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
,SMALL,ALL,1982,
ALB,,ALL,1983,
AND,,ALL,1983,
ARM,,ALL,1983,
AUT,,ALL,1983,7
AZE,,ALL,1983,
BLR,,ALL,1983,43
BEL,,ALL,1983,
BIH,,ALL,1983,
BGR,,ALL,1983,
HRV,,ALL,1983,
CYP,,ALL,1983,
CZE,,ALL,1983,
DNK,,ALL,1983,3
EST,,ALL,1983,
FIN,,ALL,1983,
FRA,,ALL,1983,
GEO,,ALL,1983,
DEU,,ALL,1983,
GRC,,ALL,1983,19
HUN,,ALL,1983,
ISL,,ALL,1983,
IRL,,ALL,1983,
ISR,,ALL,1983,
ITA,,ALL,1983,
KAZ,,ALL,1983,
KGZ,,ALL,1983,45
LVA,,ALL,1983,
LTU,,ALL,1983,
LUX,,ALL,1983,
MLT,,ALL,1983,
MCO,,ALL,1983,
MNE,,ALL,1983,
NLD,,ALL,1983,
NOR,,ALL,1983,
POL,,ALL,1983,
PRT,,ALL,1983,6
MDA,,ALL,1983,
ROU,,ALL,1983,
RUS,,ALL,1983,
SMR,,ALL,1983,
SRB,,ALL,1983,
SVK,,ALL,1983,
SVN,,ALL,1983,
ESP,,ALL,1983,
SWE,,ALL,1983,
CHE,,ALL,1983,
TJK,,ALL,1983,
MKD,,ALL,1983,
TUR,,ALL,1983,
TKM,,ALL,1983,
UKR,,ALL,1983,
GBR,,ALL,1983,
UZB,,ALL,1983,
,WHO_EURO,ALL,1983,
,EU_BEFORE_MAY2004,ALL,1983,
,EU_AFTER_MAY2004,ALL,1983,
,CIS,ALL,1983,
,CARINFONET,ALL,1983,
,SEEHN,ALL,1983,
,NORDIC,ALL,1983,
,SMALL,ALL,1983,
ALB,,ALL,1984,
AND,,ALL,1984,
ARM,,ALL,1984,
AUT,,ALL,1984,7
AZE,,ALL,1984,
BLR,,ALL,1984,43
BEL,,ALL,1984,
BIH,,ALL,1984,
BGR,,ALL,1984,
HRV,,ALL,1984,
CYP,,ALL,1984,
CZE,,ALL,1984,
DNK,,ALL,1984,3
EST,,ALL,1984,
FIN,,ALL,1984,
FRA,,ALL,1984,
GEO,,ALL,1984,
DEU,,ALL,1984,
GRC,,ALL,1984,20
HUN,,ALL,1984,
ISL,,ALL,1984,
IRL,,ALL,1984,
ISR,,ALL,1984,
ITA,,ALL,1984,
KAZ,,ALL,1984,
KGZ,,ALL,1984,47
